first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address,first_initial
Hülya,Warmer,1944-12-30,1944,F,73054,erogge@gmx.de,08861 960082,Carstenring 6/1,H
Julian,Bloch,1938-06-16,1938,M,69137,landers@aol.de,+49(0)1306 990799,Hörlestr. 010,J
Katharina,Putz,1952-11-01,1952,F,63475,ahmet32@hotmail.de,07518686682,Klingelhöferallee 727,K
Arnd,Wienhold,1976-07-25,1976,M,78031,swantje44@gmail.com,09683 10928,Buchholzstr. 066,A
Eveline,B.A.,1981-03-23,1981,F,21326,ferdinandhertrampf@hotmail.de,,Schönlandallee 539,E
Prof.,Wesack,1920-03-27,1920,M,56342,norberthettner@gmx.de,06520100918,Asutermühlestr. 23,P
Inge,Fischer,1993-09-22,1993,F,72718,freddy78@hotmail.de,0480478447,,I
Gesine,Jäntshc,1952-06-07,1952,F,61985,nataschazahn@gmx.de,,Genoveva-Budig-Gasse 1/0,G
,MBA.,1989-02-10,1989,M,63375,raidschedeltraud@hotmail.de,,Annita-Gotthard-Platz 2/5,H
hTies,Schinke-Warmer,1993-03-30,1993,M,76847,luebsewald@aol.de,(07647) 83051,Dimitri-Döhn-Ring 21,T
Cornleius,Briemer,1931-11-18,1931,M,15357,gzahn@yahoo.de,00234 28093,Miesplatz 315,C
,van,2005-03-16,2005,M,15890,hofmannelsbeth@hotmail.de,03572 831502,Buttestr. 4/1,H
Annegret,B.Eng.,1965-02-22,1965,F,40251,rpohleder@gmx.de,+49(0) 022645029,Wendestraße 022,A
Dipl.-Ing.,.BA.,2005-01-16,2005,M,52119,amailelangern@gmx.de,+49(0)3527 962096,Andrej-Beckmann-Platz 699,D
Janko,Kabus,1999-09-17,1999,M,17981,slavica75@hotmail.de,05188822252,Gumprichstraße 60,J
Bruni,Kohl,1986-08-23,1986,F,06332,juanbohlander@gmx.de,(08844) 46590,Sabine-Sauer-Gasse 7/0,B
Orhan,B.Eng.,2024-10-29,2024,M,04486,leander67@gmx.de,+49(0)1249925251,Schweitzerplatz 7/9,O
Dipl.-Ing.,Ullmann,1918-10-26,1918,M,44559,adrian31@web.de,+49(0) 102923985,Weimerring 52,D
Ramona,Pruschke,2005-07-15,2005,F,83897,dobesdominic@web.de,,Putzstr. 59,R
Elke,Seifert-Eigenwillig,1956-11-22,1956,F,81394,schulzingetraud@gmail.com,+49(0)4311 173609,Josefine-Mans-Platz 7/2,E
Süleyman,Hlozapfel,1937-12-24,1937,M,58626,dsauer@gmx.de,(01831) 51050,Zimmerring 3/8,S
Eugenie,MBA.,2025-01-07,2025,F,71936,ejacobi-jaeckel@web.de,0171639470,Rabea-Gehringer-Allee 707,E
Florian,B.A.,1955-04-29,1955,M,13835,felicitashornich@gmail.com,(03060) 848721,Mikhail-Bauer-Allee 48,F
,Dussen,1980-02-17,1980,M,56448,trommlerhertha@gmail.com,03253 70329,Henkstr. 8,M
Frau,B.Sc.,1936-07-08,1936,F,36357,ernst-august06@yahoo.de,+49(0)7850 03907,Heinrich-Eberhardt-Allee 296,F
Sigismund,Khol,2014-01-09,2014,M,89409,kreuselrudolf@gmx.de,01160 44709,Riehlweg 4,S
Melita,Textor-Schmidt,1950-06-30,1950,F,66965,samira24@web.de,,Gsutav-Pruschke-Straße 656,M
Uschi,Süßebier,1990-07-23,1990,F,88030,doeringkathi@gmail.com,(08438) 11786,Steinbergplatz 26,U
Brigitte,MBA.,1932-05-20,1932,F,71989,miriamcshuchhardt@web.de,08822 472112,Renate-Weinhold-Allee 63,B
Daniele,BMA.,2002-08-15,2002,M,19099,jschlosser@yahoo.de,+49(0)7381366710,Wulfplatz 695,D
Yasemin,Metz,1929-10-09,1929,F,82976,huebelanastasios@aol.de,(04466) 645116,Mälezrweg 376,Y
Volkmar,Wulf,1927-07-23,1927,M,76731,hellwighans-walter@gmx.de,+49 (0) 5528 191199,,V
Univ.rPof.,Bähr,2000-01-23,2000,M,48467,jacoberol@aol.de,(08182) 58693,Druballee 797,U
Ing.,Wieloch,2013-05-21,2013,M,83057,nancy85@aol.de,08973 929063,Sibel-Kraus-Ring 8,I
Dipl.-Ing.,B.Eng.,1964-10-15,1964,M,82742,hildegundjaekel@web.de,+49 (0) 4435 285024,Antonietta-Jüttner-Straße 648,D
,Hermann-Graf,1962-08-06,1962,F,36038,krzysztof01@gmail.com,+49(0) 775934888,Petar-van der Dussen-Straße 6,L
Frau,B.Sc.,1993-09-04,1993,F,33989,zthanel@yahoo.de,01107 05568,Wagnerplatz 5/1,F
Karl-Ernst,Killer-Holsten,2023-12-10,2023,M,16999,qgrein-groth@web.de,+49(0)9296 702998,Heckerstraße 7,K
Carmen,B.Sc.,1936-09-27,1936,F,26766,etzoldpirmin@web.de,+49(0)5655546754,Zita-Mohaupt-Allee 339,C
Ria,MBA.,1981-04-26,1981,F,23850,ljiljana36@googlemail.com,+49(0)4103 15874,Försterstr. 678,R
Frau,,2023-09-19,2023,F,90144,gitta07@googlemai.lcom,+49(0)0394301031,Alina-Liebelt-Weg 2,F
Annett,Hövel-Dowerg,1922-03-26,1922,F,37596,stella41@web.de,+49(0) 991406855,Hiltraud-Täsche-Straße 1/6,A
Jonas,B.Sc.,1947-07-31,1947,M,46505,lucie18@yahoo.de,(08280) 099119,Spießweg 3,J
Ing.,van,1922-10-28,1922,M,17727,ehiller@hotmail.de,+49(0)5002 110261,Jopichstraße 7,I
,B.A.,1911-01-12,1911,M,54948,croehricht@gmx.de,+49(0) 149316655,Hövelring 961,I
Heinz-Günter,B.Sc.,1978-12-18,1978,,16306,,03670 430088,Harloffring 673,H
Frau,Dobes,2013-09-30,2013,F,92169,prosenow@web.de,+49(0) 351315902,Adolphweg 90,F
Hans-Peter,Höfig,1949-09-03,1949,M,44030,florentine76@web.de,(07794) 35783,Steffen-Gröttner-Platz 18,H
Hans-Christian,Baum,1926-09-23,1926,M,57303,,+49(0)5575494592,Wohlgemutallee 65,H
Svea,Schottin-Zahn,1999-09-05,1999,F,47678,reneroerricht@yahoo.de,0623530951,Pruschkeweg 15,S
Firedhelm,Starh,1990-08-13,1990,M,48277,miesbeatrix@gmail.com,+49(0)8036 497776,Barkholzring 623,F
Drago,,1921-09-15,1921,M,63568,eva-mariahornig@hotmail.de,+49 (0) 4996 171943,Ullrichstr. 7,D
Rahel,,1936-09-06,1936,F,76346,hildegund22@googlemail.com,+49(0)5101 254259,Conradigsase 0,R
Ilija,Gieß,1945-04-22,1945,M,89320,joerg92@gmx.de,+49(0)9517 978903,Bertha-Kroker-Straße 284,I
Milan,Bolander,1944-11-08,1944,M,37792,vlolbrechtmaik@web.de,+49(0) 834433417,Anne-Rose-Gehringer-Platz 01,M
Rosalinde,Hermighausen-Stoll,1912-04-22,1912,F,38102,sgunpf@yahoo.de,+49(0)3479 76996,Jockelallee 9/1,R
Liesbeth,KreinH-öfig,1918-08-01,1918,F,40135,handeserge@gmx.de,,uHhnweg 2,L
Frida,Heinrich,1930-04-09,1930,F,31104,irena91@aol.de,+49(0) 408786660,Patbergplatz 3,F
Hans-Joachim,Liebelt-Meister,1929-10-11,1929,M,00241,corneliusgeisel@aol.de,(02078) 247609,Adlerallee 5/2,H
Hans-Dietrich,Johann,1949-03-09,1949,M,96902,benjamin15@googlemai.lcom,0187397673,Mentzelgasse 1,H
Silvana,Schacht,2018-01-17,2018,F,72680,oestrovskyjonas@yahoo.de,,Arif-Wilms-Gasse 3,S
aMria-Luise,Wohlgemut,2002-08-11,2002,F,47194,bfritsch@yahoo.de,0297779805,Cord-Cichorius-Straße 96,M
Egnelbert,Kambs,2019-03-02,2019,M,83973,,+49(0)6067 48640,Lachmannweg 98,E
Karl-Hans,Kostolzin-Klotz,1930-03-13,1930,M,88674,ljunitz@yahoo.de,0791843547,Robert-Conradi-Ring 5,K
Sigrid,Rädel,1996-05-19,1996,F,64540,ykambs@hotmail.de,(07880) 20081,Hildburg-Rose-Platz 3,S
Gilda,Trubin,2016-02-12,2016,F,95581,fischereggert@hotmail.de,(06853) 981268,Gundula-Wieloch-Gasse 9/0,G
Susanne,Losekann,1961-12-20,1961,F,76657,zherrmann@gmail.com,+49 (0) 2625 585771,Sölzergasse 9,S
Ivnaka,Schwtial,1975-12-16,1975,F,11984,jaquelinepeukert@hotmail.de,(09424) 508056,Wähnergasse 226,I
Friedhold,Barkholz,1920-04-05,1920,M,07913,alicegroettner@hotmail.de,+49(0)6942555965,Gebhard-DippelR-ing 93,F
Louise,Christoph,1920-11-16,1920,F,20524,mechtildheintze@googlemail.com,+49 (0) 3987 799807,Evamaria-Gieß-Platz 9/6,L
,Schottin,2018-03-24,2018,M,47138,magadlene61@hotmail.de,01647665311,Rustplatz 429,H
Antonio,MBA.,1913-05-29,1913,M,82661,mendeanto@gmx.de,04030 965216,Arzu-Löffler-Gasse 7/5,A
Frank-Michael,Kambs,1945-05-25,1945,M,92266,claerehoffmann@gmx.de,+49 (0) 6985 983500,Peter-Tröst-Allee 8/9,F
Irmtrud,Trüb-Schotitn,1946-09-14,1946,F,62536,solveigkranz@gmail.com,+49(0)4723 13839,Roberto-Kaul-We g9/4,I
Tülay,Reichmann,1915-06-21,1915,F,70467,lilischmidtke@aol.de,,Ladeckplatz 6/0,T
Dr.,B.Sc.,1954-03-02,1954,F,77821,heringolav@googlemail.com,,Rennerallee 991,D
Alice,Lange,2001-08-16,2001,F,29474,ysuessebier@gmail.com,08853444087,Hornichstraße 338,A
Heinz-Josef,BA..,2004-01-08,2004,M,51335,haroldkroker@hotmail.de,06456 649529,Herbert-Pölitz-Weg 443,H
Theodora,B.A.,1951-10-15,1951,F,56197,gieseladobes@hotmail.de,,Helen-Binner-Gasse 01,T
Sieghard,Bähr,1914-04-14,1914,M,10199,njaentsch@gmx.de,+49 (0) 5293 455117,Fatih-Stolze-Ring 97,S
Frau,MBA.,1973-04-14,1973,F,22570,lydi9a5@web.de,06824 52100,Ruth-Beckmann-Weg 1,F
Ing.,,1986-04-24,1986,F,00982,hans90@googlemail.com,(07424) 53737,Vitali-Rohleder-Ring 0,I
,Dörnig-Keudel,2003-01-05,2003,M,,bernard12@hotmail.de,(06493) 12134,Hcekerweg 14,E
Jasmina,Schmiedt,2007-11-05,2007,,22515,sagermadlen@googlemail.com,,Weihmannplatz 4,J
Uwe,Löchel,2016-10-14,2016,M,37230,,08547 155940,Süleyman-Hartmann-Platz 7,U
Judith,rGöttner,1953-05-17,1953,F,86361,heinz-joachim83@web.de,0032195533,Huhnstraße 7,J
Elfi,Bruder,1959-08-24,1959,F,47690,,+49(0)8183 722691,Flantzallee 1/1,E
Univ.Pro.f,Hahn,1970-02-06,1970,F,66090,mudegerold@we.bde,0039149968,Zirmeplatz 14,U
Korinna,Stroh,2021-05-23,2021,F,16616,salvatoreschmidtke@yahoo.de,+49(0)2361 60112,Scholzplatz 3,K
Frau,Schuster,1937-04-17,1937,F,41438,hubertine45@web.de,+49 (0) 5934 023007,Valeska-Ebert-Allee 9,F
Mohammed,Tschentscher,2003-08-02,2003,M,58810,,08476 057680,Ursula-Fröhlich-Straße 17,M
Katherina,Haering,2017-03-01,2017,F,94588,zirmeconcetta@aol.de,07191 14296,Reginald-Jacob-Allee 07,K
Stavros,Schönland,2007-05-25,2007,M,65257,baldur41@web.de,+49(0)3870 873838,Heringallee 6,S
Asta,Bohlander,1957-09-01,1957,F,24560,viktoira73@gmail.com,+49(0)1190333506,Tlustekgases 713,A
Winfried,B.A.,1991-01-12,1991,,90121,rudolphthies@googlemail.com,03318 934409,,W
Jonas,Jäckel,1958-07-25,1958,M,42661,aynur94y@ahoo.de,+49(0)9902 490956,Bolnbachallee 86,J
,B.A.,2017-04-13,2017,M,46405,vschlosser@web.de,+49 (0) 0033 837533,Löfflerstraße 39,D
Frieda,Noack,1916-03-15,1916,,60109,langeklemens@hotmail.de,+49(0)3328103464,Liesel-Kusch-Gasse 8,F
Univ.Prof.,B.A.,2012-09-09,2012,F,73186,mdehmel@yahoo.de,+49(0)4575 13532,Marie-Luise-Haase-Gasse 885,U
Ansgar,Ruppert-Schweitzer,1930-04-13,1930,M,52224,kaulkarl-heinrich@web.de,,Fliegnerallee 0,A
Britta,Gehringer,1949-11-11,1949,F,93704,truebveli@aol.de,+49 (0) 7054 183355,Caroline-Atzler-Allee 181,B
Prof.,MBA.,2008-05-22,2008,M,44264,monamangold@yahoo.de,+49(0)2411 294537,Salzallee 3/7,P
Bianka,Rign,1930-11-09,1930,F,16149,ementzel@yahoo.de,(07985) 83916,Wesackallee 43,B
Annekatrin,Schleich,1979-01-19,1979,F,82499,alfonso90@gmail.com,09401716959,Wielochstr. 334,A
Heinz-Otto,Noack,1943-04-29,1943,M,80529,helga39@gmail.com,+49 (0) 9463 760872,Angelika-Steuer-Allee 8,H
Raymond,Hering,1932-09-03,1932,M,91184,tillklingelhoefer@gmail.com,+49(0)2698192360,Brit-Klapp-Straße 524,R
Hanns,Haase,2017-02-20,2017,M,15435,vinko39@gmail.com,+49(0)7458 059125,Hentschelgasse 3,H
Prof.,Bonbach,1945-06-28,1945,F,65893,madlen90@aol.de,06770 65075,Ricarda-Mülichen-Straße 1/3,P
Ljiljana,Dobes,2014-01-02,2014,F,29108,gumprichselim@gmx.de,+49(0) 196229910,Holzapfelallee 176,L
Cäiclia,Rudolph-Kreusel,1985-11-12,1985,F,58042,berthold58@gmail.com,+49(0)7924 96144,Birnbaumplatz 920,C
Dipl.-Ing.,Zahn,1920-01-17,1920,M,24430,fritschlina@gmail.com,+49(0)1738 116081,Junkweg 2,D
Ing.,B.Sc.,2013-12-25,2013,M,86498,egute@web.de,(09556) 551070,Wolf-Dietrich-Trubin-Ring 12,I
Natali,,1925-09-29,1925,F,58197,leonidhendriks@gmail.com,04334522757,Sigurd-Albers-Platz 06,N
Matthäus,Stumpf,1910-04-18,1910,M,27309,marekfoerster@aol.de,(03107) 518151,Hanno-Hande-Straße 9,M
Claudio,Dhön,1919-08-09,1919,M,65471,miroslav21@web.de,+49(0)1569 12147,Bolzmannallee 872,C
Maurizio,Ullrich,1991-06-18,1991,M,68411,ehrhardheidrich@gmx.de,03718834585,oBucseinring 04,M
Prof.,B.Eng.,1999-10-07,1999,M,93647,theodoros50@aol.de,+49(0)1996 66680,Frieda-Hermighausen-Ring 5,P
,Henschel,1993-03-20,1993,F,43887,belagnatz@hotmail.de,+49 (0) 9245 717557,Annerose-Thanel-Weg 6,P
Valerie,Schmiedecke,1980-07-23,1980,F,,elzbietagotthard@hotmail.de,(02440) 172385,Alberto-Heidrich-Gasse 6/0,V
Aimr,Kerin,1963-12-22,1963,M,93578,thanelwera@aol.de,+49(0)1959 35343,Heidi-Pechel-Pltaz 15,A
Gertraud,Ernst-Zobel,1976-04-06,1976,F,81511,ildiko14@yahoo.de,(02503) 246611,Ehlertewg 3/0,G
Bernd,Häring,2009-05-13,2009,M,64310,nadeschda52@hotmail.de,+49 (0) 4214 640853,Pechelplatz 2/4,B
,Klapp,1924-06-22,1924,F,48307,janinhenk@aol.de,09238 06207,Briemearllee 324,I
Hans,Ruppert-Killer,1947-05-27,1947,M,35874,foersterwilfried@hotmail.de,,Hans-Albert-Weller-Weg 170,H
Erik,Wagner-Spieß,1962-01-16,1962,M,19077,doerrsiglinde@aol.de,+49(0) 342845216,Hartungring 5/8,E
Ing.,BE.ng.,2019-07-10,2019,F,48503,gunhildritter@hotmail.de,,Rocco-Sontag-Allee 613,I
Herr,B..A,1971-03-02,1971,M,40271,schweitzerrudolph@gmail.com,+49(0)5082 304233,Schinkeweg 3/2,H
Rita,Hellwig,1963-02-07,1963,F,75544,rohterik@yahoo.de,,Strohallee 67,R
Engin,Schomber,2011-01-18,2011,M,73138,heinz-wilhelmebert@gmx.de,08230596474,Dieter-Eberth-Straße 48,E
Conny,B.A.,1953-02-25,1953,F,,attilawende@gmx.de,+49(0) 921325722,Oliver-Zobel-Weg 55,C
Univ.Prof.,MBA.,1961-06-09,1961,F,46499,pschmiedt@gmail.com,(06313) 14339,Oda-Wagenknecht-Straße 060,U
Paulian,Bolander,1929-10-04,1929,F,26355,mosemannroberto@hotmail.de,+49(0)8909 74751,Thies-Kallert-Ring 3,P
Giesela,Ehlert,1918-11-01,1918,F,15140,dreweskarl-ernst@web.de,04994 23051,Helma-Plath-Ring 510,G
Elwira,B.nEg.,1958-03-27,1958,F,94093,fabiennerogner@yahoo.de,(05552) 88379,RicoR-einhardt-Ring 7/5,E
Rosa-Maria,B.Sc.,1983-11-02,1983,F,62738,doerschnerlilo@web.de,(06030) 73404,Hendriksweg 402,R
Frau,Bruder,1950-07-01,1950,F,92803,sieghard93@gmial.com,+49(0)8385 382952,Bolzmannring 2/6,F
Ing.,Gröttner,1960-04-14,1960,M,,vkobelt@web.de,(04030) 99322,Trubinallee 349,I
Ernestine,,2001-01-05,2001,F,74673,junkenmaya@web.de,+49(0)9412 65753,Marita-Dussen van-Allee 29,E
Monja,Fischer,2020-08-03,2020,F,08041,pzorbach@aol.de,+49 (0) 9015 553632,eMndestr. 38,M
Elal,Pergande-iBen,1926-01-09,1926,F,47980,tomislav59@hotmail.de,+49(0)2705 392267,Meitserallee 32,E
Bernt,Otto-Haase,1973-06-14,1973,M,03447,zkaul@yahoo.de,(09395) 23819,Wojciech-Oestrovsky-Straße 78,B
Dipl.-Ing.,Tschentscher,1955-06-28,1955,F,79359,giorgioraedel@gmail.com,+49(0)5590 37922,Heringstr. 09,D
Jaroslav,Heser,1993-10-30,1993,M,41592,heflriedgeisel@yahoo.de,(09872) 46660,Stadelmannallee 46,J
Woldemar,Junck,2014-09-14,2014,M,33884,siabelle48@web.de,+49(0)8228 77694,Drewesring 030,W
Dr.,Gierschner,2021-08-31,2021,F,03468,hermasteinberg@googlemail.com,+49(0)8097450793,Slavko-Kaul-Gasse 666,D
Susi,Ullmann,1934-02-01,1934,F,55562,scholtzoswald@gxm.de,01239 527958,Ziegertstraße 447,S
tSeffi,Rörricht,1931-06-27,1931,F,48495,swetlana36@web.de,09614166967,Jäkelstraße 9,S
Hinrich,Weitzel,1941-12-17,1941,M,17825,steyhans-d@yahoo.de,+49(0)7786 948138,Guteallee 932,H
Manja,Schäfer,2018-12-13,2018,F,17523,betinaaumann@gmx.de,(01696) 49050,Ev-aJüttner-Straße 49,M
Univ.Prof.,B.A.,1971-09-26,1971,M,28315,,+49 (0) 7039 624100,Henschelallee 6/6,U
Dr.,B.A.,1966-01-11,1966,F,11098,aenne22@gmx.de,(03576) 750650,,D
Meral,Schleich,1918-09-28,1918,F,74060,uscheel@gmx.de,(04284) 95689,Oderwaldweg 9,M
Waldemar,Rohleder-Schmidtke,2007-01-28,2007,M,15645,gordon59@yahoo.de,+49(0)0608569180,Kata-Klapp-Ring 1/1,W
Dr.,Hellwig,1933-06-29,1933,F,27105,dfroehlich@hotmail.de,0746299268,Adlerweg 4,D
,B.Eng.,1958-03-19,1958,F,15652,doehncornelia@yahoo.de,+49(0)6152751991,Kreszentia-Fliegner-Allee 43,H
Alebrt,Zänker,1970-02-17,1970,M,61341,metachristoph@yahoo.de,+49(0)6232667828,,A
Saban,Hartung,1932-08-20,1932,M,39495,bartholomaeus12@gmx.de,(02853) 84729,Fatih-Drub-Weg 6/0,S
Carolina,Gorth,1932-11-21,1932,F,43439,gvollbrecht@gmail.com,+49(0) 784069124,Brit-Mude-Gasse 4/5,C
,Herrmann-Haering,1910-04-08,1910,M,93528,zsteuer@googlemail.com,0780644776,Tlustekplatz 03,S
Friedl,Schönland,1985-12-19,1985,F,95098,hans-guenther60@web.de,03724864993,Heinz-Wilhelm-Thanel-Platz 5,F
Gerwin,Holsten,1953-05-19,1953,M,06123,bernadettejacob@hotmail.de,09574 05891,Steffi-Segebahn-Platz 5,G
rD.,Atzler,1948-11-24,1948,M,68218,zgiess@gmail.com,01334807460,Ernestine-Nette-Platz 7/4,D
Friedericke,Rosemann,1976-07-28,1976,F,63369,,08965 634588,Zorbachplatz 9/4,F
Katarzyna,Wernecke,1955-11-22,1955,F,24097,clemesn33@hotmail.de,+49(0)4218 66817,Pruschkestraße 8,K
Mohamed,Seip,1918-07-30,1918,M,63732,christianejunitz@web.de,+49(0) 878018419,Reichmannstraße 84,M
Hans,Mentzel,1942-11-08,1942,M,24023,dimitriosschmidt@gmail.com,+49 (0) 4221 744438,Scheuermannweg 538,H
Cordula,Faust,1994-02-11,1994,F,06756,johanngierschner@googlemail.com,+49 (0) 9084 141865,Victor-Hecker-Platz 020,C
Dipl.-Ing.,B.Eng.,1960-04-13,1960,M,85733,jhuhn@hotmail.de,+49(0)2323 476065,Alois-Grein Groth-Allee 6/6,D
Jeanette,oKch,1927-08-07,1927,F,62374,ebertabdullah@aol.de,04933 21528,Josip-Plath-Allee 4/1,J
Philipp,Schäefr,1940-02-09,1940,M,70201,lutz12@yahoo.de,+49 (0) 2832 429473,Linkestraße 707,P
Judith,Bohlander,1943-05-21,1943,F,73149,ilkahiller@hotmail.de,03976 29341,Benthinplatz 8,J
Herr,MBA.,1999-06-27,1999,,05301,anatol80@googlemail.com,0833672826,,H
Lorenoz,Jkäel-Kuhl,1982-01-23,1982,M,96090,vjohann@gmail.com,,Anton-Radisch-Gasse 02,L
Branko,Klemm,1934-04-25,1934,M,30523,leander88@googlemali.com,08848619138,,B
