first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address,city,first_initial
Anna-maria,Scholz,1928-03-09,1928,F,06769,eckart56@aol.de,+49(0)5375862618,Michaele-Köhler-Gasse 502,Heinsberg,A
Dunja,,1998-01-21,1998,F,71936,mangoldladislaus@oal.de,0171639470,Rabea-Gehringer-Allee 707,Grevesmühlen,D
Philippe,Adolph,1955-04-29,1955,M,13835,felicitashronich@gmail.com,(03060) 848721,Mikhail-Bauer-Allee 48,Spremberg,P
Rosalie,Van Der Dussen-steinberg,1980-02-17,1980,F,56448,trommlerhertha@gmail.com,03253 70329,Henkstr. 8,Bernburg,R
Nick,Buchholz,1936-07-08,1936,M,36357,ernst-august06@yahoo.de,+49(0)7850 03907,Heinrich-Eberhardt-Allee 296,,N
Siugrd,,1948-07-21,1948,M,09811,xhoefig@web.de,0044709398,Schusterring 9,Lübeck,S
Ella,Hartung,1988-04-22,1988,,54158,zschueler@googlemail.com,(05091) 94712,Stjepan-Juncken-Straße 55,Uffenheim,E
Benjamin,Huhn,2009-06-25,2009,M,38117,seifertmary@web.de,06866 28226,Edwin-Seifert-Straße 059,Wolmirstedt,B
Eugen,Schuster,1923-11-04,1923,M,23263,mirjam72@aol.de,0217578357,Hölzenbecherweg 234,Göppingen,E
Consatntin,Stolze,1971-04-05,1971,M,21855,,02365872813,Klemens-Barkholz-Gasse 48,Sankt Goarshausen,C
Hannchen,,1973-09-16,1973,F,31781,hannes79@aol.de,+49(0)0355 926903,Eigenwilligplatz /67,Bitterfeld,H
Frauke,Sorgatz,1936-08-10,1936,F,66391,sagerwillfried@googlemail.com,0932627891,Baldur-Stadelmann-Weg 48,Kulmbach,F
Willy,Rädel,1928-01-26,1928,M,01131,oestrovskyevangelos@googlemail.com,(07368) 95850,Bogdan-Kabus-Straße 8/9,Wismar,W
Rebecca,Schmidtke,1910-04-29,1910,F,78729,stephanierose@googlemail.com,+49()02720734618,Heydrichplatz 44,Wesel,R
Claudia,,1984-01-04,1984,F,06005,glehmann@web.de,+49(0)2105 401365,Adolphweg 83,Stuttgart,C
Reginald,Rudoplh,2018-11-12,2018,M,81986,markoschmiedt@googlemail.com,,Ingolf-Pergande-Weg 107,Hettstedt,R
Johann,Kuhl,1914-02-12,1914,M,91502,ekkehardschleich@yahoo.de,,Mentzelgasse 99,Wolfratshausen,J
,Renner Beng,1918-08-15,1918,F,63026,nicolaigeisler@web.de,(07660) 56555,Noackring 9,,H
,Stolze,1990-10-25,1990,M,80253,hfinke@web.de,0785238504,Gunda-Baum-Plat z587,Angermünde,H
Karola,Weinhold,1924-02-05,1924,F,07695,seifertkata@gmail.com,(00144) 003943,Birger-Hendriks-Gasse 286,Ebern,K
Attila,Hövel-dowerg,1922-03-26,1922,M,37596,stella41@web.de,+49(0) 991406855,Hiltraud-Täsche-Straße 1/6,Pasewalk,A
Claas,Langern,1915-02-04,1915,M,98280,marian46@gmx.de,+49(0)9911955538,Blochgasse 99,Witzenhausen,C
Heinz,Harloff,1958-10-12,1958,M,02110,dfechner@aol.de,,Charles-Eckbauer-Straße 7/3,Tecklenburg,H
Fadime,Heuser,1966-07-28,1966,F,,gerdi93@aol.de,+49(0)1961 66087,Bolanderplatz 9,Coburg,F
Ekchardt,Baum-gorlitz,1916-09-30,1916,M,63516,jaekelheinz-josef@aol.de,03501 694553,Norbert-Graf-Straße 6,Oschatz,E
Kai-uwe,Bolander,2001-06-22,2001,M,90064,trautelachmann@aol.de,07760297861,Nils-Bender-Straße 9/0,Sondershausen,K
Natalie,Hornig,1958-12-15,1958,F,92252,,+49(0)8274 455140,Felix-Otto-Allee 55,Beeskow,N
Reza,Hering,1960-05-07,1960,M,45892,lenahoefig@web.de,08894170442,Rene-Rörricht-Allee 47,Neustadtner Waldnaab,R
Hedi,Flantz,1954-01-22,1954,F,24129,zimmermeinrad@gmx.de,03617829804,Margrfagasse 364,Niesky,H
Horst,Lindner,1918-05-16,1918,M,37288,heinz-juergenladeck@aol.de,+49 (0) 4912 635682,,Meißen,H
Karen,Hölzenbecher,1936-09-06,1936,F,76346,hildegund22@googlemail.com,,Conradigasse 0,Neunburg vorm Wald,K
Korbinian,Stahr,1945-04-22,1945,M,89320,joerg92@gmx.de,+49(0)9517 978903,Bertha-Kroker-Straße 284,Sömmerda,K
Sigismund,Klingelhöfer,1941-09-10,1941,M,43341,hans-heinrichpruschke@yahoo.de,08391 822830,Hermighausenweg 16,Miesbach,S
Henriette,Schmiedt-ullmann,1932-08-23,1932,F,43797,beyerjulia@yahoo.de,0996815479,Schaafstraße 9,Chemnitz,H
Helfried,Christoph,1918-12-03,1918,M,58498,irena40@yahoo.de,(04440) 63054,,Lüdenschedi,H
Rafael,Gröttner,1946-08-06,1946,M,04878,heintzedenny@aol.de,0660668353,Liebeltallee 1/1,Beeskow,R
Ayse,Striebitz,2019-11-21,2019,F,19207,,,Karzplatz 555,Bad Kissingen,A
Claudio,Dörr,2021-04-08,2021,M,96902,romana64@yahoo.de,0187397673,Mentzelgasse 1,Rudolstadt,C
Andrei,Lachmann,1973-09-02,1973,M,69411,sigmundpatberg@aol.de,+49(0)9263100530,Seifertweg 4,Jena,A
Dagobert,Möchlichen,2005-12-24,2005,M,77980,siglinde62@hotmail.de,05311629613,Jäntschweg 575,Fürstenwalde,D
Annett,Klotz,1976-03-24,1976,F,86401,loosswetlana@web.de,,Karoline-van der Dussen-Ring 8/0,Meiningen,A
Deborah,Krein-koch Ii,2008-11-15,2008,F,36148,heini54@googlemail.com,05180478997,Scholtzweg 099,Wittmund,D
Kira,Weßi,1999-12-31,1999,F,29392,aumannrenata@hotmail.de,+49(0)3059 86920,Lidwina-Adolph-Weg 3/2,Uffenheim,K
Sabrina,eSifert,1993-03-29,1993,F,26809,xpechel@gmail.com,+49(0) 097909161,Keudelallee 039,Demmin,S
Katja,Drewes,1982-04-04,1982,F,,halinakoehler@gmx.de,00498 172291,Mentzelstr. 74,Bad Kissingen,K
Marie-theres,Barkholz,1980-02-08,1980,F,01226,klotzsylvester@gmx.de,+49(0)4028180119,Selim-Köster-Ring 9,Augsbugr,M
Anja,Gotthard-ortmann,1922-12-11,1922,F,39309,hella11@gmail.com,+49(0)3660 587650,Hans-Friedrich-Conradi-Straße 5/4,Genthin,A
Mona,Wulff,1935-11-01,1935,F,60399,ybaehr@web.de,+49(0)3439 806868,Marie-Luise-Geisler-Ring 1/9,Griesbach Rottal,M
Ewald,Pärtzelt Beng,2008-12-21,2008,M,08556,rbolzmann@yahoo.de,,Silvana-Bolnbach-Straße 504,Lübben,E
Annegrete,Tschentscher,1915-02-05,1915,F,40008,pechelsilvio@googlemail.com,02955654988,Cläre-Hoffmann-Ring 1,Deggendorf,A
Sieglinde,Kuhl,2018-03-30,2018,F,20918,leonorerecihmann@gmail.com,01886 436343,Peter-Hentschel-Straße 4,Schwäbisch Hall,S
Rudolph,Haering,1990-03-15,1990,M,40205,annelieselosekann@hotmail.de,+49(0) 489262910,Beerring 7/2,Weimar,R
Rose-marie,Wohlgemut,1996-12-04,1996,F,06461,nevenka03@aol.de,03964230813,Beerstraße 8/2,Malchin,R
Katarzyna,Schönland,1965-11-21,1965,F,66478,hartungbenno@gmx.de,+49(0)4533 987637,Mitschkering 8,Freising,K
Elsa,,1970-01-02,1970,F,13907,langernmato@aol.de,+49(0)3368151335,Heuserweg 6,Gunzenhausen,E
Cathrin,Rust,2015-03-25,2015,F,59955,reimundbenthin@aol.de,+49 (0) 9218 405619,Reinhild-Pergande-Allee 8/2,Böbilngen,C
Muharrem,Binner,1963-09-05,1963,M,95051,gesa30@gmail.com,+49(0)1992529345,,Tirschenreuth,M
Mathias,Schmiedt-stiebtiz,1986-02-16,1986,M,09216,yhess@yahoo.de,+49(0)9576 22570,Jobst-Kensy-Platz 007,Backnang,M
Stefano,Drub-mentzel,2016-06-13,2016,M,29079,soedingrico@web.de,+49(0) 009827424,Albina-Hamann-Straße 9,Monschau,S
Reinhard,Kaul-weinhage,1989-02-15,1989,M,90512,heinz-dieterjunitz@hotmail.de,(06867) 606493,Eckhardt-Sölzer-Allee 48,Tecklenburg,R
Enno,Seidel-eckbauer,2018-03-06,2018,M,98097,fanny56@googlemail.com,(03225) 15430,Vollbrechtplatz 4/1,Bernburg,E
Wilfriede,Gierschner Beng,2016-10-14,2016,F,,biggensiegbert@gmx.de,08547 155940,Süleyman-Hartmann-Platz 7,Oranienburg,W
Hardy,Kallert,1985-12-12,1985,M,36106,judithjungfer@googlemail.com,(03219) 55330,Mälzerring 1/3,Saulgau,H
Karl-hans,Killer,1946-08-06,1946,M,69018,filizkoch@gmail.com,+49(0)8372 269175,Ebertallee 535,Kelhemi,K
,Gertz,1916-10-25,1916,F,60391,ybolnbach@googlemail.com,+49(0)9698 27231,Birgit-StrohS-traße 6,Querfurt,H
Hans-günter,Mude,2011-05-02,2011,M,60112,,(06593) 84351,Imre-Gertz-Platz 708,Bad Mergentheim,H
Celal,Weimer,1912-03-17,1912,M,61149,gehringerhansgeorg@aol.de,+49(0)7055772513,Birgit-Klingelhöfer-Weg 27,Hefrord,C
Aagta,Mosemann,1968-06-09,1968,F,83230,jonasjungfer@gmail.com,04662 661111,Lisette-Rust-Straße 5,Böblingen,A
Arnim,Hermighausen,1985-04-01,1985,M,34798,uzahn@yahoo.de,(09776) 829900,Rena-Holsten-Gasse 65,Herzberg,A
,Pruschke,1944-07-30,1944,M,47703,rene56@yahoo.de,08325 73256,Kitzmannstraße 011,,E
Viktoria,Haering,2000-01-23,2000,F,46822,uconradi@web.de,+49(0)0033 13669,Claudius-Geißler-Gasse 3/3,Osterburg,V
Yevtte,Jäntsch,1917-02-24,1917,F,83487,heserjosefine@hotmail.de,+49 (0) 6125 894534,Kraushaarweg 199,Ebersberg,Y
Sören,Schleich-ullrich,1955-05-14,1955,M,13522,christinawinkler@yahoo.de,+49 (0) 7485 338695,Kühnertring 520,Erkelenz,S
Jnaus,Gute,2014-11-27,2014,M,70258,rebecca58@yahoo.de,+49(0) 861791649,Langeallee 109,Eutin,J
Brunhilde,Paffrath,1925-03-04,1925,F,28311,uheser@hotmail.de,01752613827,Anne-Rose-Löchel-Ring 5,Kassel,B
Emil,Knappe,1944-12-14,1944,M,,alfritter@gmx.de,(06915) 805421,Marianne-Freudenberger-Platz 4,Coburg,E
Sandra,Graf,1932-10-03,1932,F,18068,vbaum@web.de,+49(0)7145937042,Renate-Keudel-Ring 833,Hohenmölsen,S
Leonhard,Adolph,1999-02-22,1999,M,13470,johannekrebs@hotmail.de,+49 (0) 7144 264124,Valeri-Finke-Weg 5,Norden,L
Wally,Salz,1976-01-01,1976,F,12716,dittmarehlert@gmail.com,+49(0)4979 858391,Kadeallee 43,Bernburg,W
Ronald,Rogge-stahr,1979-01-19,1979,M,82499,alfonso90@gmail.com,09401716959,Wielochstr. 334,Mayen,R
,Wagenknecht,1983-09-07,1983,F,52929,iwantlustek@gmx.de,(04637) 60872,Angelika-Steuer-Allee 8,Grafenau,B
Christoph,Etzold,1990-03-03,1990,M,18402,vinkowielohc@web.de,0981923603,Möchlichengasse 2,Eckernförde,C
Dieter,Hübel,2017-02-20,2017,M,51435,vinko39@gmail.com,+49(0)7458 059125,,Ribnitz-Damgarten,D
Anselm,Hiller,1945-06-28,1945,M,65893,madlen90@aol.de,06770 65075,Ricarda-Mülichen-Straße 1/3,Scmhölln,A
Stefano,Budig,2014-01-02,2014,M,29108,gumprichselim@gmx.de,+49(0) 196229910,Holzapfelallee 176,Feuchtwangen,S
Jiri,Bohnbach Beng,1979-03-29,1979,M,42479,baerbelbaum@gmx.de,+49 (0) 4961 446702,Abbas-Junken-Straße 5/7,Shcwäbisch Gmünd,J
Saskia,Bachmann,1921-10-27,1921,F,73811,lenibirnbaum@web.de,(06081) 36552,Adlerallee 520,Zossen,S
Geza,Trsöt-nerger,1925-01-22,1925,F,70681,zkiller@gmx.de,04312 452627,Ditschlerinallee 257,Kitzingen,G
Eva-marie,Rörricht,2024-11-20,2024,F,60293,jutta75@yahoo.de,+49(0)6300387542,Angelo-Dehmel-Allee 85,Cuxhaven,E
Berta,Adolph,1927-01-28,1927,F,19481,,,Hertrampfweg 66,Griesbach Rottal,B
Antonino,Trupp,2017-06-29,2017,M,21136,reinhardtsilva@web.de,+49(0)5494 44304,Svea-Kallert-Ring 13,Scheinfeld,A
Heinz-günter,Römer-hofmann,2015-08-31,2015,M,70013,erogner@gmx.de,,Kata-Rust-Ring 5/0,Sternberg,H
Lore,Harloff,1983-02-24,1983,F,12684,steinbergbirthe@hotmail.de,,Anita-Schmiedecke-Allee 438,Eckernförde,L
Francoise,Kade,2007-03-08,2007,F,30464,klaushenck@web.de,08222928813,Heydrichgasse 44,Burg,F
Eckehard,Pölitz Beng,1999-04-20,1999,M,30837,kkiller@yahoo.de,(00618) 106193,Ringring 959,Jena,E
Friedhelm,Hahn,1938-12-10,1938,M,41872,patrizia84@googlemail.com,01473815119,Bergerweg 24,Lübz,F
Branko,Ladeck,2016-11-13,2016,,37788,svetlanalangern@googlemail.com,05529 764310,Trubplatz 446,Osterode am Harz,B
Josefa,Stiffel,2014-08-01,2014,F,67267,krameremin@gmx.de,(08362) 31114,Valentin-Rörricht-Weg 38,Sebnitz,J
Carin,Bien,1947-06-25,1947,F,72522,manszdenka@googlemail.com,+49 (0) 9835 902794,Susanna-Süßebier-Allee 8,Halberstadt,C
Klaus,Gotthard,2018-10-06,2018,M,39173,junitzemmy@gm.xde,04575380106,Monika-Salz-Gasse 7/3,rGiesbach Rottal,K
Wenzel,Putz,1939-12-24,1939,M,,valerijhartmann@yahoo.de,+49(0)9080 48298,Piepergasse 3,Wittstock,W
Liselotte,Briemer,1998-09-20,1998,F,07884,jennyfroehlich@hotmail.de,+49 (0) 8841 306271,Sieglinde-van der Dussen-Platz 1/1,Aue,L
Edda,Bien,1983-12-26,1983,F,28772,tsorgatz@googlemail.com,+49(0)8168075544,,Kusel,E
Hans-h,Masn,1926-05-25,1926,M,37313,lehmannflorian@gmail.com,,Heydrichring 12,Quedlinburg,H
Tino,Huhn,1915-04-10,1915,M,57038,danielle08@gmail.com,+49(0)4392 13257,Juri-Franke-Ring 55,Vilsbiburg,T
Vera,Wulf,1961-06-09,1961,F,,pschmiedt@gmail.com,(06313) 14339,Oda-Wagenknecht-Straße 060,Beilngries,V
Tamara,,1968-12-10,1968,F,55489,woldemarfritsch@web.de,+49(0)9747517175,Winklerplatz 52,Kamenz,T
Gordon,Weller,1946-04-13,1946,M,23051,holzapfelarif@hotmail.de,,Anja-Klemt-Platz 5,München,G
Sergio,Rogge,1958-02-23,1958,M,52883,branko93@web.de,09106 857758,Wulfgasse 6,Rottweil,S
Otfried,Ritter,1937-10-19,1937,M,03073,nuraymohaupt@yahoo.de,+49(0)0465 31402,Bernt-Bruder-Weg 0/8,Jena,O
Susanna,Mentzel,1984-01-01,1984,F,31838,oliver92@web.de,03829521714,Robin-Kensy-Ring 383,,S
Silke,Sontag,1915-09-10,1915,F,09932,pweinhage@gmx.de,+49 (0) 9370 349924,Krausweg 80,Mallersdorf,S
Karl-hans,Beier,1970-12-15,1970,M,32312,rouvenklapp@web.de,,Benno-Beckmann-Straße 7,,K
aKrolin,Fiebig,1985-11-16,1985,F,85792,whande@gmail.com,+49(0) 844804354,Manuela-Hande-Ring 86,Schleiz,K
René,Hornig,1963-10-27,1963,,16733,emmischuster@gmail.com,+49 (0) 4183 306663,Faustplatz 96,Bersenbrück,R
Hans-michael,Möchlichen,1914-11-27,1914,M,,zdravko48@aol.de,+49(0) 486505542,Giorgio-Rädel-Platz 2,Sömmerda,H
Hans-detlef,Rosenow,1952-05-23,1952,M,59542,eberhardt99@gmail.com,+49(0)2722 563329,,Dieburg,H
Pius,Lorch-ladeck,1963-06-15,1963,M,04488,baererpaul-gerhard@hotmail.de,(04338) 84482,Meisterstraße 2,Celle,P
,Binnre-hahn,1980-01-22,1980,M,19379,hans-dieter32@hotmail.de,+49(0)0364808097,Benderstraße 23,Ilmenau,A
Lorenz,,1957-05-21,1957,M,96609,georgia83@gmail.com,04225556217,Verena-Wohlgemut-Weg 2,Rostock,L
Katherina,Hande,1971-03-18,1971,F,47382,olgarust@hotmail.de,+49(0)4362248495,Davidsring 669,Mühlhausen,K
Vassilios,Jäkel,2012-09-22,2012,M,23517,renato25@googlemail.com,02517 78694,Bianka-Jacobi Jäckel-Straße 09,Dinkelsbühl,V
Marek,Schäfer,2018-12-13,2018,M,17523,betinaaumann@gmx.de,(01696) 49050,Eva-Jüttner-Straße 49,Wolfach,M
Ute,Segebahn,1971-09-26,1971,F,28315,jmuehle@aol.de,+49 (0) 7039 624100,Henschelallee 6/6,Donaueschingen,U
Walli,Röhrdanz-wohlgemut,1948-01-16,1948,F,22562,thilodoehn@gmail.com,+49(0)1098 935767,,Hofgeismar,W
Hannelore,Thanel,1990-04-26,1990,F,51274,sonianohlmans@yahoo.de,,Oderwaldweg 9,Querfurt,H
Rduolph,Durbin,2017-12-05,2017,M,85691,miroslaw00@googlemail.com,,Violetta-Rose-Ring 31,Senftenberg,R
,Benthin,1971-10-19,1971,F,62992,bonbachmike@googlemail.com,0827084486,Wohlgemutgasse 4/9,Rochlitz,D
Karl-josef,Södnig,1931-08-18,1931,M,61572,juettnersalih@gmx.de,01991612343,Lieschen-Saue-rPlatz 757,Osterode am Harz,K
Hansgeorg,Gieß,1940-12-22,1940,M,66782,bachmanrnoland@gmail.com,09639 83803,Annette-Sorgatz-Straße 534,Kemnath,H
Joanna,Weinhold-köster,2024-09-22,2024,F,12196,huelya72@hotmail.de,0002382042,Tatiana-Lachmann-Allee 1,Neubrandenburg,J
Samuel,Lange,1973-09-15,1973,M,89645,rose-marie60@hotmail.de,+49(0)4300 48204,Kathy-Bolnbach-Straße 5,Borken,S
Janin,Birnbaum,2010-07-17,2010,F,31599,friedlpatberg@gmail.com,+49(0)1194 848686,Lidwina-Stolze-Straße 426,Soltau,J
Grzegorz,Bolander,2024-01-20,2024,M,55928,harlofffranka@web.de,07238 14213,Striebitzring 612,Peine,G
